title,author,genre,rating,status,origin_country,year
Dave the Pigeon,Swapna Haddow,Children,,,United Kingdom,2016
The Whispers of Wilderwood Hall,Karen McCombie,Children,,,United Kingdom,2005
The U Turn,N/A,Fiction,,,N/A,N/A
The Midnight Gang,David Walliams,Children,,,United Kingdom,2016
The Ice Monster,David Walliams,Children,,,United Kingdom,2018
The Tale of Angelino Brown,David Almond,Children,,,United Kingdom,2021
Grandpa's Great Escape,David Walliams,Children,,,United Kingdom,2015
Harry Potter and the Goblet of Fire,J. K. Rowling,Fantasy,,,United Kingdom,2000
Flora the Fancy Dress Fairy,Daisy Meadows,Children,,,United Kingdom,2007
The Narrow Road to the Deep North,Matsuo Bashō,Poetry,,,Japan,1702
The American Girl,N/A,Fiction,,,N/A,N/A
Little House on the Prairie,Laura Ingalls Wilder,Children,,,United States,1935
For Esmé—with Love and Squalor,J. D. Salinger,Fiction,,,United States,1950
The Early Public Life of W. E. Gladstone,N/A,History,,,N/A,N/A
Sunday Miscellany,N/A,Essays,,,Ireland,2013
Germany,N/A,Travel,,,N/A,N/A
Breaking Balls,N/A,Biography,,,N/A,N/A
Vegetables in a Small Garden,N/A,Reference,,,N/A,N/A
Separate Storms,N/A,Fiction,,,N/A,N/A
Bavaria,N/A,Travel,,,N/A,N/A
Design Your Garden,N/A,Reference,,,N/A,N/A
A Squash and a Squeeze,Julia Donaldson,Children,,,United Kingdom,1993
Pigin of Howth,Paul Howard,Children,,,Ireland,2020
Biology,N/A,Science,,,N/A,N/A
The Boater's Handbook,N/A,Reference,,,N/A,N/A
Home Stretch,Graham Norton,Fiction,,,Ireland,2020
A Peaceful Mind,N/A,Psychology,,,N/A,N/A
The Blue Sky,N/A,Fiction,,,N/A,N/A
Unknown Wyeth,N/A,Biography,,,N/A,N/A
Victory through Mary,N/A,Religion,,,United Kingdom,1954
Madhouse at the End of the Earth,Julian Sancton,History,,,United States,2021
"Beautiful World, Where Are You",Sally Rooney,Fiction,,,Ireland,2021
The Gift: 12 Lessons to Save Your Life,Edith Eger,Psychology,,,Hungary,2020
Prince Otto,Robert Louis Stevenson,Fiction,,,United Kingdom,1885
The Island of Missing Trees,Elif Shafak,Fiction,,,Turkey,2021
A Little Princess (x2),Frances Hodgson Burnett,Children,,,United Kingdom,1905
The Munros,N/A,History,,,N/A,N/A
Awful Auntie,David Walliams,Children,,,United Kingdom,2014
Operation Trumpsformation,Ross O'Carroll-Kelly (Paul Howard),Fiction,,,Ireland,2017
Angelina Nicely,N/A,Children,,,N/A,N/A
Waterford City: A History,N/A,History,,,Ireland,1992
A Series of Unfortunate Events: The Wide Window,Lemony Snicket (Daniel Handler),Children,,,United States,2000
Harry Potter and the Deathly Hallows,J. K. Rowling,Fantasy,,,United Kingdom,2007
Harry Potter and the Philosopher's Stone (x2),J. K. Rowling,Fantasy,,,United Kingdom,1997
Golden Hill,Francis Spufford,Fiction,,,United Kingdom,2016
The Weekend,Charlotte Wood,Fiction,,,Australia,2019
Treatise on the True Devotion to the Blessed Virgin,Louis de Montfort,Religion,,,France,1843
Dinghy Sailing,N/A,Reference,,,N/A,N/A
Jiffy Phrasebook German,N/A,Reference,,,N/A,N/A
Granny,Anthony Horowitz,Children,,,United Kingdom,1994
What's Happening to Me?,Peter Mayle,Children,,,United Kingdom,1973
Facts of Life,N/A,Children,,,N/A,N/A
The Globalist: Peter Sutherland,N/A,Biography,,,Ireland,2022
Managing for Dummies,Bob Nelson & Peter Economy,Finance,,,United States,1999
The Enchanted Wood,Enid Blyton,Children,,,United Kingdom,1939
This Champagne Mojito Is the Last Thing I Own,N/A,Essays,,,Ireland,2022
The Rover Adventure,Robert Louis Stevenson,Fiction,,,United Kingdom,1985
The Complete Book of Golf,N/A,Reference,,,N/A,N/A
The Husband,N/A,Fiction,,,N/A,N/A
The Time-Travelling Sandwich Bites Back,N/A,Children,,,N/A,N/A
The Book of Ships,N/A,Reference,,,N/A,N/A
King Midas and the Gold,N/A,Children,,,Greece,2004
The Lepidoptera of County Wexford,N/A,Science,,,Ireland,2009
Fingers in the Sparkle Jar,Chris Packham,Biography,,,United Kingdom,2016
Saskia's Journey,N/A,Fiction,,,N/A,N/A
Avenue of Mysteries,John Irving,Fiction,,,United States,2015
Eternal Echoes: Exploring Our Hunger to Belong,John O'Donohue,Psychology,,,Ireland,1998
The Great Alone,Kristin Hannah,Fiction,,,United States,2018
The High Mountains of Portugal,Yann Martel,Fiction,,,Canada,2016
Crossing to Safety,Wallace Stegner,Fiction,,,United States,1987
Tuesdays with Morrie,Mitch Albom,Biography,,,United States,1997
Tidings,N/A,Essays,,,Ireland,2016
Being Various,Lucy Caldwell (ed.),Essays,,,Ireland,2019
After the End,Clare Mackintosh,Fiction,,,United Kingdom,2019
The Secret Garden,Frances Hodgson Burnett,Children,,,United Kingdom,1911
The Endurance,Caroline Alexander,History,,,United States,1998
President Obama: The Path to the White House,N/A,Biography,,,N/A,N/A
Facts About Ireland,N/A,History,,,Ireland,2010
Why Be Afraid?,N/A,Religion,,,Ireland,2011
The Year in Sweden,N/A,Travel,,,N/A,N/A
A Scandalous Life,N/A,Biography,,,N/A,N/A
Defeat into Victory,William Slim,History,,,United Kingdom,1956
Little Women,Louisa May Alcott,Fiction,,,United States,1868
The Paper Bracelet,Rachael English,Fiction,,,Ireland,2020
The Vitality Mark (x2),Dermot O'Connor,Psychology,,,Ireland,2006
Never Be Nervous Again,Dale Carnegie,Psychology,,,United States,1990
The Courage to Be Happy,Ichirō Kishimi & Fumitake Koga,Psychology,,,Japan,2019
Managing Stress,N/A,Psychology,,,N/A,N/A
Handling Difficult People,N/A,Psychology,,,N/A,N/A
